city,lat,long
Tarana,-33.52287957,149.9071892
Orange,-33.28512363,149.1029528
Nullica SF,-37.039722,149.777222
Cobrunga,-37.0539722,147.399
Deua NP,-36.0044,149.5664
Gelantipy,-37.283333,148.316667
Tinderry,-35.739167,149.263056
Kosciuszko,-36.37138889,148.5855556
Dangelong NR,-36.41163889,149.3394722
Adaminaby,-35.94702778,148.7943056
Mt. Cobberas #2,-36.8222222,148.0736111
Wulgulmerang,-37.08,148.27
Namadgi NP,-35.6747222,148.9772222
Tuross River,-36.25,149.5
Mt. Coopracambra,-37.2528,149.2944
