Catalogue Number,Scientific Name,Data Resource Name,Institution ID,Institution,Collection ID,Collection,Licence,Institution Code,Collection Code,Locality,Latitude - original,Longitude - original,Geodetic datum - original,Latitude,Longitude,Coordinate Precision,Coordinate Uncertainty in Metres,Country - parsed,State - parsed,Local Government Areas 2011,IMCRA 4 Regions,IBRA 7 Regions,Minimum elevation in meters,Maximum elevation in meters,Minimum depth in meters,Maximum depth in meters,Individual count,Collector,Year,Month,Day,Event Date - parsed,Verbatim event date,Basis Of Record - original,Basis Of Record,Occurrence status,Sex,Preparations,Outlier for layer,Taxonomic Quality,Location Quality,Record number
NSW 856887,Prostanthera sp. Evans Crown,NSW AVH data,in50,The Royal Botanic Gardens & Domain Trust,co54,National Herbarium of New South Wales,,NSW,NSW,"0.5 km SW of Evans Crown, Evans Crown Nature Reserve, Tarana.",-33.5639,149.9208,,-33.5639,149.9208,,,Australia,New South Wales,Lithgow (C),,South Eastern Highlands,1020,1020,,,,"Rodd, A.N.",2002,3,9,9/03/2002,,PreservedSpecimen,PreservedSpecimen,present,,sheet,,TRUE,TRUE,11009
NSW 237164,Prostanthera sp. Evans Crown,NSW AVH data,in50,The Royal Botanic Gardens & Domain Trust,co54,National Herbarium of New South Wales,,NSW,NSW,"Evan's Crown, near Tarana.",-33.5639,149.9208,,-33.5639,149.9208,,,Australia,New South Wales,Lithgow (C),,South Eastern Highlands,,,,,,"McKee, H.S.",1960,1,10,10/01/1960,,PreservedSpecimen,PreservedSpecimen,present,,sheet,,TRUE,TRUE,7043
NSW 1055966,Prostanthera sp. Evans Crown,NSW AVH data,in50,The Royal Botanic Gardens & Domain Trust,co54,National Herbarium of New South Wales,,NSW,NSW,"On an exposed granite tor, overlooking a clearing on the summit of the reserve.",-33.5639,149.9208,GDA94,-33.5639,149.9208,,5,Australia,New South Wales,Lithgow (C),,South Eastern Highlands,1007,1007,,,,"Taseski, G.M.",2018,10,28,28/10/2018,,PreservedSpecimen,PreservedSpecimen,present,,sheet,,TRUE,TRUE,853
NE 108967,Prostanthera gilesii,NE AVH data,in65,University of New England,co65,N.C.W. Beadle Herbarium,,NE,NE,,-33.4,149,WGS84,-33.4,149,,10000,Australia,New South Wales,Cabonne (A),,South Eastern Highlands,1010,1010,,,,"Bruhl, J.J.",2018,12,,,,,PreservedSpecimen,present,,,,TRUE,TRUE,3602
NSW 243340,Prostanthera phylicifolia,NSW AVH data,in50,The Royal Botanic Gardens & Domain Trust,co54,National Herbarium of New South Wales,,NSW,NSW,"On southern bank of Limestone creek. 1 km directly north-northeast from Limestone Creek track crossing, 6.5 km west-northwest from Cobberas #2.",-36.8222222,148.0736111,,-36.8222222,148.0736111,,,Australia,Victoria,East Gippsland (S),,South Eastern Highlands,940,940,,,,"Walsh, N.G.",1988,1,22,22/01/1988,,PreservedSpecimen,PreservedSpecimen,present,,sheet,,TRUE,TRUE,2039
NSW 1051719,Prostanthera phylicifolia,NSW AVH data,in50,The Royal Botanic Gardens & Domain Trust,co54,National Herbarium of New South Wales,,NSW,NSW,"Bare Rocks of Wulgulmerang, c. 31 miles NNE of Buchan.",-37.08,148.27,GDA94,-37.08,148.27,,10000,Australia,Victoria,East Gippsland (S),,South Eastern Highlands,,,,,,"Melville, R.",1953,1,21,21/01/1953,,PreservedSpecimen,PreservedSpecimen,present,,sheet,,TRUE,TRUE,3036
NE 109822,Prostanthera phylicifolia,NE AVH data,in65,University of New England,co65,N.C.W. Beadle Herbarium,,NE,NE,"Kosciuszko National Park, Thredbo River, 5.4 km NW of Jindabyne",-36.36666667,148.5833333,,-36.36666667,148.5833333,,,Australia,New South Wales,Snowy River (A),,South Eastern Highlands,930,930,,,,"Medd, R.W.",2019,5,1,1/05/2019,,PreservedSpecimen,PreservedSpecimen,present,,,,TRUE,TRUE,217096b
NE 109830,Prostanthera phylicifolia,NE AVH data,in65,University of New England,co65,N.C.W. Beadle Herbarium,,NE,NE,"Murrumbidgee River, c. 5.8 km NNE of Adaminaby",-35.94702778,148.7943056,,-35.94702778,148.7943056,,,Australia,New South Wales,Cooma-Monaro (A),,South Eastern Highlands,1020,1020,,,,"Medd, R.W.",2019,5,3,3/05/2019,,PreservedSpecimen,PreservedSpecimen,present,,,,TRUE,TRUE,217100a
NE 109826,Prostanthera phylicifolia,NE AVH data,in65,University of New England,co65,N.C.W. Beadle Herbarium,,NE,NE,"Dangelong Nature Reserve, Throsby trig, c. 12.5 km NNE of Nimmitabel",-36.41163889,149.3394722,,-36.41163889,149.3394722,,,Australia,New South Wales,Cooma-Monaro (A),,South Eastern Highlands,1230,1230,,,,"Medd, R.W.",2019,5,2,2/05/2019,,PreservedSpecimen,PreservedSpecimen,present,,,,TRUE,TRUE,217099b
NSW 624610,Prostanthera phylicifolia,NSW AVH data,in50,The Royal Botanic Gardens & Domain Trust,co54,National Herbarium of New South Wales,,NSW,NSW,"Nursery Swamp, ridge to NE of main swamp.",-35.6747222,148.9772222,,-35.6747222,148.9772222,,50,Australia,Australian Capital Territory,Unincorporated ACT,,Australian Alps,1240,1240,,,,"Taws, N.",1993,12,26,26/12/1993,,PreservedSpecimen,PreservedSpecimen,present,,sheet,,TRUE,TRUE,315
NSW 275953,Prostanthera phylicifolia,NSW AVH data,in50,The Royal Botanic Gardens & Domain Trust,co54,National Herbarium of New South Wales,,NSW,NSW,"Tuross River, 20 miles [32 km] E of Cooma.",-36.25,149.5,,-36.25,149.5,,25000,Australia,New South Wales,Cooma-Monaro (A),,South Eastern Highlands,,,,,,"Briggs, B.G.",1965,12,27,27/12/1965,,PreservedSpecimen,PreservedSpecimen,present,,sheet,,TRUE,TRUE,
NSW 704841,Prostanthera phylicifolia,NSW AVH data,in50,The Royal Botanic Gardens & Domain Trust,co54,National Herbarium of New South Wales,,NSW,NSW,Big Badja Hill. AMG Badja 312123.,-36.0061111,149.5652778,,-36.0061111,149.5652778,,1000,Australia,New South Wales,Cooma-Monaro (A),,South Eastern Highlands,1360,1360,,,,"Liney, J.",2003,12,8,8/12/2003,,PreservedSpecimen,PreservedSpecimen,present,,sheet,,TRUE,TRUE,2039
NSW 1051502,Prostanthera phylicifolia,NSW AVH data,in50,The Royal Botanic Gardens & Domain Trust,co54,National Herbarium of New South Wales,,NSW,NSW,Rocky outcrop c. 3.3 km north of Mt Coopracambra summit.,-37.2528,149.2944,,-37.2528,149.2944,,,Australia,Victoria,East Gippsland (S),,South East Corner,700,700,,,,"Albrecht, D.E.",1988,9,10,10/09/1988,,PreservedSpecimen,PreservedSpecimen,present,,sheet,,TRUE,TRUE,3684
NSW 1100407,Prostanthera phylicifolia,NSW AVH data,in50,The Royal Botanic Gardens & Domain Trust,co54,National Herbarium of New South Wales,,NSW,NSW,"Tinderry Ranges, NSW",-35.739167,149.263056,,-35.739167,149.263056,,,,,,,,,,,,,,,,,,,,,,,,,,,
